,End_Dates,Holiday_Name,Holiday_Count,Year,Month,Day
0,2020-01-01,Christmas holiday,1,2020,1,1
1,2020-01-01,New year,1,2020,1,1
2,2020-01-02,Christmas holiday,1,2020,1,2
3,2020-01-03,Christmas holiday,1,2020,1,3
4,2020-01-04,Christmas holiday,1,2020,1,4
5,2020-01-05,Christmas holiday,1,2020,1,5
6,2020-02-15,Spring holiday,1,2020,2,15
7,2020-02-16,Spring holiday,1,2020,2,16
8,2020-02-17,Spring holiday,1,2020,2,17
9,2020-02-18,Spring holiday,1,2020,2,18
10,2020-02-19,Spring holiday,1,2020,2,19
11,2020-02-20,Spring holiday,1,2020,2,20
12,2020-02-21,Spring holiday,1,2020,2,21
13,2020-02-22,Spring holiday,1,2020,2,22
14,2020-02-23,Spring holiday,1,2020,2,23
15,2020-02-24,Spring holiday,1,2020,2,24
16,2020-02-25,Spring holiday,1,2020,2,25
17,2020-02-26,Spring holiday,1,2020,2,26
18,2020-02-27,Spring holiday,1,2020,2,27
19,2020-02-28,Spring holiday,1,2020,2,28
20,2020-02-29,Spring holiday,1,2020,2,29
21,2020-03-01,Spring holiday,1,2020,3,1
22,2020-04-10,Good Friday,1,2020,4,10
23,2020-04-12,Easter Sunday,1,2020,4,12
24,2020-04-13,Easter Monday,1,2020,4,13
25,2020-04-25,May holiday,1,2020,4,25
26,2020-04-26,May holiday,1,2020,4,26
27,2020-04-27,King's day,1,2020,4,27
28,2020-04-27,May holiday,1,2020,4,27
29,2020-04-28,May holiday,1,2020,4,28
30,2020-04-29,May holiday,1,2020,4,29
31,2020-04-30,May holiday,1,2020,4,30
32,2020-05-01,May holiday,1,2020,5,1
33,2020-05-02,May holiday,1,2020,5,2
34,2020-05-03,May holiday,1,2020,5,3
35,2020-05-05,Liberation Day,1,2020,5,5
36,2020-05-21,Ascension Thursday,1,2020,5,21
37,2020-05-31,Whit Sunday,1,2020,5,31
38,2020-06-01,Whit Monday,1,2020,6,1
39,2020-07-04,Summer holiday,1,2020,7,4
40,2020-07-05,Summer holiday,1,2020,7,5
41,2020-07-06,Summer holiday,1,2020,7,6
42,2020-07-07,Summer holiday,1,2020,7,7
43,2020-07-08,Summer holiday,1,2020,7,8
