"Datum";"AankomstHalteCode";"AankomstHalteNaam";"AankomstLat";"AankomstLon";"AantalReizen"
"8/18/2020 12:00:00 AM";"";"Overig";"";"";"1"
"10/12/2020 12:00:00 AM";"";"Overig";"";"";"5035"
"10/12/2020 12:00:00 AM";"[[ Onb";"[[ Onbekend ]]";"0.00000000";"0.00000000";"4784"
"10/12/2020 12:00:00 AM";"00001";"Muiderpoortstation";"4.93287450";"52.36132700";"80"
"10/12/2020 12:00:00 AM";"00005";"Muiderpoortstation";"4.93280219";"52.36121887";"247"
"10/12/2020 12:00:00 AM";"00006";"Muiderpoortstation";"4.93368466";"52.36106048";"104"
"10/12/2020 12:00:00 AM";"00007";"Muiderpoortstation";"4.93356602";"52.36117686";"436"
"10/12/2020 12:00:00 AM";"00008";"Dapperstraat";"4.92977913";"52.36110836";"786"
"10/12/2020 12:00:00 AM";"00010";"Dapperstraat";"4.92891486";"52.36092527";"265"
"10/12/2020 12:00:00 AM";"00014";"Wijttenbachstraat";"4.92507537";"52.36027221";"148"
"10/12/2020 12:00:00 AM";"00017";"Linnaeusstraat";"4.92573745";"52.36013099";"143"
"10/12/2020 12:00:00 AM";"00018";"Diemerknoop";"5.00286153";"52.33537576";"53"
"10/12/2020 12:00:00 AM";"00019";"Diemerknoop";"5.00296377";"52.33543002";"44"
"10/12/2020 12:00:00 AM";"00020";"Beukenweg";"4.91674979";"52.35906203";"203"
"10/12/2020 12:00:00 AM";"00021";"Beukenweg";"4.91721293";"52.35829991";"432"
"10/12/2020 12:00:00 AM";"00023";"Beukenplein";"4.91809259";"52.35701816";"198"
"10/12/2020 12:00:00 AM";"00024";"Beukenplein";"4.91807544";"52.35725177";"51"
"10/12/2020 12:00:00 AM";"00029";"Oostpoort";"4.92719316";"52.35707185";"237"
"10/12/2020 12:00:00 AM";"00030";"Oostpoort";"4.92694026";"52.35739442";"273"
"10/12/2020 12:00:00 AM";"00039";"Hogeweg";"4.93084015";"52.35358075";"107"
"10/12/2020 12:00:00 AM";"00040";"Hogeweg";"4.93135765";"52.35321425";"162"
"10/12/2020 12:00:00 AM";"00041";"Maxwellstraat";"4.93019273";"52.34803283";"28"
"10/12/2020 12:00:00 AM";"00044";"Fizeaustraat";"4.92432897";"52.34597881";"66"
"10/12/2020 12:00:00 AM";"00046";"Fizeaustraat";"4.92463808";"52.34589015";"55"
"10/12/2020 12:00:00 AM";"00048";"Lorentzlaan";"4.93197648";"52.34582872";"13"
"10/12/2020 12:00:00 AM";"00051";"Pekelharingstraat";"4.93652909";"52.34551360";"41"
"10/12/2020 12:00:00 AM";"00052";"Pekelharingstraat";"4.93677583";"52.34578417";"17"
"10/12/2020 12:00:00 AM";"00053";"Kruislaan";"4.93967974";"52.34742196";"71"
