iter	RMSE
0	473.5498705
1	449.3013494
2	429.1368299
3	411.999278
4	398.1352107
5	386.5267213
6	376.9087174
7	369.0328305
8	362.4864833
9	357.2232836
10	352.9463533
11	349.1654088
12	345.9388304
13	343.3362623
14	341.3222148
15	339.1863004
16	337.2076564
17	336.0051773
18	334.4796094
19	333.5173884
20	332.5115009
21	331.6747848
22	331.0074318
23	330.4013416
24	329.8044013
25	329.0492364
26	328.5413979
27	327.9934664
28	327.4497647
29	327.1051122
30	326.7839129
31	326.3245169
32	325.771171
33	325.4419384
34	325.1003274
35	324.6695181
36	324.3824431
37	324.1260968
38	323.9376576
39	323.7137225
40	323.3401343
41	323.2075512
42	322.8749255
43	322.6552056
44	322.5363294
45	322.1178281
46	321.7784299
47	321.6128249
48	321.2320105
49	320.736659
50	320.3894087
51	320.0969351
52	319.910539
53	319.2795208
54	319.1331428
55	318.9315669
56	318.7257784
57	318.5683235
58	318.4821406
59	318.1561998
60	318.0364549
61	317.7000099
62	317.3320351
63	317.0285632
64	316.898959
65	316.5946549
66	316.490543
67	316.1474242
68	315.395921
69	315.2673447
70	315.1308354
71	314.748487
72	314.4513019
73	314.2300021
74	314.0196842
75	313.7979474
76	313.5670882
77	313.4151487
78	313.3307018
79	313.040647
80	312.8761681
81	312.5133122
82	312.389002
83	312.2196498
84	312.1189612
85	311.7714871
86	311.6837528
87	311.4390825
88	311.2878199
89	311.1321557
90	310.8926035
91	310.7706578
92	310.4205469
93	310.1756966
94	310.0238654
95	309.8985728
96	309.8095679
97	309.5586202
98	309.3876612
99	309.1390654
100	308.9181004
101	308.8000488
102	308.5784823
103	308.4123869
104	308.2323666
105	307.9848027
106	307.845348
107	307.5018895
108	307.4212286
109	307.3638273
110	307.2682117
111	307.0098727
112	306.9692826
113	306.7403971
114	306.5994699
115	306.3798072
116	306.1396425
117	306.034617
118	305.9457986
119	305.7357574
120	305.6775535
121	305.4601262
122	305.2759021
123	305.1455579
124	305.0430006
125	304.728795
126	304.529048
127	304.361778
128	304.2584333
129	304.1722581
130	304.0292534
131	303.8755547
132	303.6675311
133	303.5462751
134	303.4941629
135	303.3159971
136	303.2555925
137	302.9798036
138	302.7963191
139	302.6289599
140	302.4808472
141	302.4183378
142	302.3400824
143	302.2205889
144	302.1896438
145	302.0872028
146	301.9660965
147	301.8009255
148	301.6953737
149	301.3024571
150	301.2776262
151	301.1281878
152	300.9069341
153	300.6976599
154	300.5734069
155	300.376269
156	300.2449346
157	300.0101266
158	299.8324272
159	299.5959385
160	299.4570787
161	299.2394181
162	299.1998365
163	299.1640121
164	298.9940809
165	298.9434286
166	298.8115655
167	298.7607002
168	298.7183403
169	298.6038086
170	298.3475187
171	298.1241525
172	298.0541038
173	297.9186585
174	297.7662322
175	297.6448124
176	297.5270771
177	297.3328808
178	297.2538434
179	297.2286494
180	297.1470704
181	297.0864322
182	296.9847982
183	296.8876047
184	296.7731255
185	296.7221245
186	296.6048883
187	296.5482784
188	296.48437
189	296.4586863
190	296.3812484
191	296.3374816
192	296.2691215
193	296.1859645
194	296.1126392
195	296.0368393
196	295.9875457
197	295.9258383
198	295.9061665
199	295.8614954
200	295.7684566
201	295.6645031
202	295.6056741
203	295.4947093
204	295.4028921
205	295.2696993
206	295.223253
207	295.1577623
208	295.0385515
209	294.9357408
210	294.7971733
211	294.7794016
212	294.6783424
213	294.5191225
214	294.4911621
215	294.4901232
216	294.3397959
217	294.3028059
218	294.2687892
219	294.1849152
220	294.072957
221	294.0378634
222	294.0047824
223	293.8830588
224	293.8126649
225	293.7503374
226	293.7214279
227	293.5003455
228	293.4209251
229	293.4032331
230	293.2839172
231	293.2252797
232	293.1704223
233	293.0195206
234	292.8829027
235	292.7592683
236	292.6887202
237	292.6328016
238	292.6113587
239	292.5584094
240	292.4500169
241	292.4264245
242	292.4042148
243	292.2911779
244	292.2461255
245	292.1350317
246	292.0066389
247	291.8666746
248	291.8489847
249	291.7085476
250	291.6744539
251	291.5343264
252	291.5128154
253	291.4411197
254	291.3371361
255	291.2229086
256	291.1303035
257	291.0774856
258	291.0383666
259	290.9157729
260	290.7249307
261	290.6474303
262	290.559981
263	290.4624932
264	290.4394698
265	290.2534591
266	290.1500903
267	290.1328412
268	290.0952006
269	290.0607876
270	289.9608644
271	289.9264545
272	289.8677247
273	289.7902654
274	289.7329258
275	289.5079665
276	289.4117074
277	289.3561702
278	289.3481214
279	289.3053647
280	289.2291814
281	289.1279065
282	289.0812
283	288.9118469
284	288.7067456
285	288.6089377
286	288.5450326
287	288.476219
288	288.4537609
289	288.4439385
290	288.405809
291	288.2684541
292	288.1850423
293	288.1561725
294	288.1357295
295	288.1121947
296	288.078603
297	288.0598733
298	287.9994006
299	287.9350788
300	287.8122832
301	287.7705666
302	287.7044106
303	287.6332154
304	287.4263305
305	287.3872267
306	287.368289
307	287.3620499
308	287.3245723
309	287.2397225
310	287.183834
311	287.1042087
312	286.9757498
313	286.9300644
314	286.8941388
315	286.8299778
316	286.8122649
317	286.7455422
318	286.5952475
319	286.5434105
320	286.5189313
321	286.4839227
322	286.392837
323	286.304609
324	286.1514143
325	285.9700466
326	285.9102843
327	285.8202839
328	285.7907658
329	285.6884411
330	285.6535818
331	285.5265027
332	285.4614419
333	285.4204167
334	285.3983658
335	285.3107366
336	285.2579599
337	285.2425755
338	285.1395744
339	285.0546834
340	284.9935027
341	284.9339048
342	284.8430089
343	284.8083545
344	284.7689125
345	284.693354
346	284.483919
347	284.4597674
348	284.4004326
349	284.3457237
350	284.2418369
351	284.2082587
352	284.1523299
353	284.073221
354	283.9431814
355	283.8752702
356	283.8480488
357	283.7873485
358	283.728016
359	283.5809305
360	283.5179836
361	283.4750261
362	283.4116299
363	283.3406752
364	283.3306113
365	283.2605208
366	283.2266926
367	283.155133
368	283.0790887
369	282.9533705
370	282.9319381
371	282.8808264
372	282.8196026
373	282.7781575
374	282.7146871
375	282.6670905
376	282.6071363
377	282.5716613
378	282.5229274
379	282.4782801
380	282.426409
381	282.3508917
382	282.1914358
383	282.016234
384	281.9394934
385	281.8498355
386	281.8008136
387	281.7820205
388	281.7340223
389	281.7105793
390	281.6744804
391	281.6540698
392	281.6346576
393	281.5266489
394	281.4639804
395	281.4191859
396	281.3313607
397	281.2998752
398	281.1833481
399	281.1539673
400	281.1324377
401	281.0516037
402	281.0174185
403	280.999221
404	280.9604024
405	280.9338211
406	280.9045447
407	280.8813137
408	280.837274
409	280.8172561
410	280.7683406
411	280.7403902
