iter	Passed	Remaining
0	61	121024
1	97	96451
2	148	97926
3	182	89959
4	246	97009
5	311	102254
6	361	101513
7	390	95939
8	419	91604
9	449	88238
10	478	85521
11	507	82991
12	535	80841
13	563	78961
14	593	77589
15	620	75925
16	650	74927
17	680	74008
18	710	73145
19	740	72422
20	774	72084
21	803	71287
22	832	70689
23	886	72039
24	914	71303
25	941	70607
26	972	70153
27	999	69491
28	1029	69051
29	1067	69232
30	1115	69933
31	1156	70248
32	1186	69838
33	1247	71245
34	1303	72277
35	1331	71736
36	1375	72028
37	1410	71903
38	1436	71303
39	1472	71255
40	1502	70864
41	1538	70822
42	1587	71348
43	1645	72208
44	1673	71771
45	1714	71913
46	1755	72025
47	1793	72020
48	1819	71524
49	1881	72454
50	1915	72272
51	1974	73017
52	2036	73842
53	2103	74839
54	2148	75003
55	2226	76311
56	2270	76401
57	2322	76766
58	2353	76443
59	2395	76471
60	2451	76917
61	2496	77017
62	2550	77396
63	2602	77696
64	2641	77609
65	2667	77167
66	2716	77361
67	2757	77345
68	2810	77642
69	2874	78220
70	2901	77797
71	2956	78134
72	2995	78038
73	3037	78023
74	3088	78231
75	3152	78772
76	3215	79251
77	3271	79557
78	3321	79709
79	3382	80122
80	3458	80875
81	3492	80626
82	3524	80349
83	3568	80340
84	3628	80687
85	3691	81089
86	3759	81581
87	3811	81729
88	3870	82010
89	3918	82073
90	3971	82214
91	4041	82722
92	4097	82913
93	4151	83064
94	4215	83414
95	4268	83548
96	4341	84054
97	4373	83767
98	4416	83696
99	4449	83434
100	4511	83702
101	4572	83959
102	4635	84241
103	4692	84416
104	4769	84948
105	4844	85411
106	4872	85068
107	4906	84817
108	4945	84670
109	5001	84806
110	5054	84882
111	5107	84954
112	5165	85117
113	5206	84990
114	5254	84988
115	5281	84644
116	5310	84327
117	5362	84394
118	5396	84167
119	5451	84265
120	5511	84444
121	5571	84628
122	5620	84621
123	5672	84673
124	5737	84921
125	5794	85028
126	5824	84751
127	5867	84666
128	5905	84511
129	5932	84199
130	5960	83908
131	6009	83901
132	6059	83919
133	6122	84113
134	6190	84374
135	6247	84482
136	6301	84547
137	6352	84563
138	6399	84524
139	6447	84508
140	6488	84395
141	6553	84597
142	6610	84693
143	6666	84760
144	6709	84683
145	6749	84555
146	6805	84623
147	6863	84732
148	6913	84728
149	6984	84980
150	7014	84734
151	7040	84440
152	7071	84214
153	7112	84108
154	7177	84273
155	7245	84489
156	7275	84246
157	7320	84181
158	7345	83891
159	7373	83645
160	7422	83627
161	7478	83691
162	7543	83862
163	7592	83843
164	7638	83796
165	7687	83777
166	7733	83724
167	7796	83854
168	7841	83793
169	7897	83850
170	7944	83807
171	8009	83958
172	8058	83936
173	8129	84147
174	8189	84233
175	8243	84258
176	8288	84193
177	8336	84162
178	8401	84299
179	8454	84310
180	8494	84189
181	8531	84046
182	8570	83929
183	8627	83973
184	8664	83832
185	8728	83948
186	8775	83902
187	8834	83976
188	8888	83993
189	8953	84113
190	9002	84086
191	9062	84158
192	9101	84034
193	9160	84095
194	9197	83957
195	9254	84003
196	9328	84197
197	9380	84187
198	9432	84185
199	9483	84164
200	9537	84177
201	9585	84130
202	9637	84129
203	9701	84221
204	9753	84215
205	9809	84239
206	9844	84082
207	9892	84039
208	9918	83809
209	9980	83884
210	10030	83856
211	10079	83820
212	10129	83794
213	10186	83827
214	10227	83723
215	10281	83730
216	10321	83620
217	10355	83460
218	10430	83637
219	10462	83465
220	10510	83420
221	10542	83251
222	10604	83317
223	10669	83403
224	10724	83415
225	10790	83505
226	10818	83307
227	10876	83342
228	10922	83277
229	10963	83176
230	11019	83194
231	11060	83093
232	11113	83089
233	11162	83050
234	11211	83009
235	11254	82928
236	11294	82824
237	11340	82768
238	11388	82720
239	11427	82614
240	11477	82582
241	11529	82562
242	11575	82505
243	11603	82319
244	11646	82236
245	11689	82158
246	11745	82167
247	11793	82128
248	11844	82105
249	11893	82067
250	11943	82034
251	12007	82096
252	12057	82069
253	12114	82083
254	12159	82016
255	12206	81965
256	12234	81787
257	12298	81844
258	12356	81868
259	12380	81663
260	12415	81530
261	12455	81438
262	12482	81252
263	12534	81238
264	12570	81117
265	12626	81125
266	12670	81052
267	12718	81007
268	12764	80950
269	12832	81036
270	12895	81084
271	12945	81052
272	13003	81066
273	13058	81068
274	13102	80996
275	13127	80811
276	13187	80836
277	13261	80951
278	13327	81018
279	13374	80963
280	13437	81009
281	13490	80989
282	13557	81057
283	13604	81001
284	13684	81144
285	13746	81183
286	13798	81154
287	13841	81075
288	13898	81084
289	13962	81124
290	14026	81172
291	14082	81169
292	14127	81102
293	14167	81005
294	14223	81000
295	14275	80977
296	14303	80812
297	14351	80763
298	14415	80804
299	14470	80791
300	14521	80760
301	14559	80657
302	14625	80704
303	14679	80690
304	14711	80549
305	14749	80445
306	14807	80449
307	14866	80462
308	14919	80440
309	14971	80409
310	15011	80320
311	15055	80247
312	15111	80239
313	15164	80217
314	15218	80197
315	15280	80225
316	15329	80175
317	15384	80165
318	15428	80092
319	15471	80017
320	15526	80001
321	15583	79996
322	15624	79910
323	15674	79873
324	15748	79956
325	15808	79961
326	15860	79933
327	15919	79936
328	15980	79952
329	16043	79975
330	16107	80001
331	16153	79938
332	16220	79983
333	16271	79942
334	16329	79939
335	16382	79915
336	16415	79788
337	16463	79736
338	16504	79650
339	16548	79578
340	16610	79594
341	16673	79615
342	16724	79573
343	16779	79556
344	16806	79402
345	16862	79388
346	16911	79344
347	16963	79309
348	17010	79252
349	17058	79202
350	17116	79192
351	17175	79193
352	17224	79144
353	17283	79142
354	17342	79138
355	17398	79122
356	17448	79079
357	17508	79081
358	17563	79060
359	17615	79025
360	17666	78986
361	17747	79080
362	17789	78998
363	17833	78930
364	17864	78801
365	17916	78764
366	17972	78746
367	18028	78727
368	18078	78682
369	18130	78645
370	18181	78605
371	18241	78607
372	18314	78661
373	18390	78723
374	18454	78740
375	18526	78786
376	18587	78788
377	18631	78715
378	18698	78740
379	18743	78675
380	18786	78596
381	18843	78578
382	18878	78470
383	18944	78493
384	18979	78383
385	19051	78428
386	19096	78360
387	19151	78331
388	19192	78251
389	19237	78182
390	19295	78170
391	19356	78166
392	19409	78131
393	19478	78159
394	19523	78092
395	19584	78089
396	19630	78029
397	19685	77999
398	19736	77954
399	19805	77984
400	19857	77942
401	19902	77876
402	19960	77861
403	20009	77809
404	20044	77701
405	20079	77599
406	20106	77461
407	20143	77363
408	20181	77273
409	20243	77271
410	20299	77248
411	20333	77137
412	20389	77113
413	20458	77137
414	20515	77120
415	20571	77095
416	20638	77109
417	20669	76992
418	20712	76918
419	20747	76815
420	20806	76801
421	20861	76772
422	20920	76757
423	20983	76757
424	21025	76681
425	21051	76545
426	21096	76481
427	21136	76399
428	21179	76324
429	21221	76250
430	21248	76118
431	21291	76046
432	21327	75952
433	21390	75950
434	21443	75913
435	21480	75823
436	21534	75790
437	21588	75758
438	21656	75774
439	21718	75766
440	21777	75751
441	21829	75712
442	21874	75648
443	21908	75546
444	21948	75461
445	22003	75432
446	22046	75363
447	22101	75332
448	22160	75315
449	22210	75270
450	22263	75231
